RA,DEC,PMRA,PMRA Error,PMDEC,PMDEC Error,Parallax,Parallax Error,Name,Spec,J-mag,J-mag Error,H-mag,H-mag Error,K-mag,K-mag Error
127.2770961752432,14.939591936944955,-58.8,3.0,-246.3,3.0,38.4,3.3,2MASSW J0829066+145622    ,L1.0        ,14.75,0.03,13.801,0.036,13.166,0.033
127.56424754180284,-11.186048848222411,31.2,3.6,-1.9,2.2,42.9,3.7,PSO J127.5648-11.1861     ,T3          ,15.93,0.069,15.369,0.066,15.351,0.182
128.01646241225592,-1.4765906978400103,57.5,5.4,0.5,5.6,42.8,3.7,2MASSW J0832045-012835    ,L1:         ,14.128,0.03,13.318,0.023,12.712,0.027
128.99307680718593,5.808609861224274,-120.5,2.6,-21.1,3.2,23.9,2.1,2MASS J08355829+0548308   ,L1.7        ,14.533,0.036,13.683,0.037,13.168,0.034
130.7286171235213,-6.173012275420618,-357.8,2.2,-54.4,2.0,38.3,2.8,PSO J130.7271-06.1732     ,T4.5        ,16.04,0.076,15.68,0.111,15.127,
133.14501510274414,47.34329879315891,-50.6,2.0,-396.5,1.8,42.2,3.4,SDSS J085234.90+472035.0  ,L9.5:       ,16.182,0.109,15.419,0.146,14.718,0.116
133.80071103505728,-2.566025774505296,-150.7,2.4,93.7,2.3,20.8,3.1,PSO J133.8016-02.5658     ,T0pec       ,16.099,0.075,15.311,0.068,14.96,0.127
134.49275845534814,57.14772118737107,-396.9,2.3,-380.2,3.0,71.3,1.8,SDSSp J085758.45+570851.4 ,L8:         ,15.038,0.04,13.79,0.042,12.962,0.03
135.78469271028672,16.993338028826393,30.3,7.4,-29.8,8.5,19.2,4.6,PSO J135.7840+16.9932     ,T0pec       ,16.488,0.11,15.783,0.155,15.485,0.186
136.44405578578005,56.38662724309739,13.2,2.3,101.8,4.4,38.9,3.5,2MASS J09054654+5623117   ,L6          ,15.395,0.052,14.284,0.041,13.73,0.037
137.157752381907,50.535792487520276,-423.6,3.4,-467.5,2.9,95.2,4.0,2MASSI J0908380+503208    ,L9:         ,14.549,0.023,13.477,0.03,12.945,0.027
147.2850440129335,-15.763436319611193,-105.6,4.0,9.5,5.3,32.9,4.0,2MASS J09490860-1545485   ,T2          ,16.149,0.117,15.262,0.114,15.227,0.168
149.03471229668256,-14.785146044673567,74.0,4.7,-150.2,4.3,65.4,3.4,PSO J149.0341-14.7857     ,L9          ,16.276,0.103,15.059,0.086,14.219,0.061
149.19113290034798,-19.172956910340197,-112.3,3.8,34.2,2.9,35.0,4.8,PSO J149.1907-19.1730     ,L5pec       ,15.208,0.046,14.323,0.038,13.853,0.048
149.88896534761727,45.39195333307234,-105.0,2.6,-138.2,3.1,30.2,2.8,2MASS J09593276+4523309   ,L3 {gamma}  ,15.88,0.07,14.759,0.068,13.673,0.044
151.7997207388971,19.515695644821186,-263.2,1.7,-19.4,1.6,45.6,2.0,SDSS J100711.74+193056.2  ,L8:         ,16.871,0.157,15.755,0.149,14.997,0.101
153.17778789472743,10.351758857107496,-405.7,1.9,-545.9,1.9,59.7,1.8,ULAS J101243.54+102101.7  ,T5.5        ,15.19,0.053,14.748,0.078,14.783,0.13
